Account Name,Deal Stage,Amount,Close Date,Created Date,Owner,Industry,Region
Green LLC,Negotiation,11943.73,9/21/2026,1/9/2025,Michael Horton,Retail,South America
Tucker LLC,,82213.93,7/22/2026,3/28/2025,Amanda Owens,Healthcare,Asia
"Lynch, Johnson and Hester",Prospecting,89818.34,10/11/2026,2/16/2025,Catherine Ray,Finance,Europe
Parker-Brown,QUALIFICATION,,11/22/2025,4/29/2025,Alexandra Ramos,Technology,South America
Bolton-Curry,CLOSED LOST,23906.68,1/7/2026,2/22/2025,Miss Dorothy Collins DVM,Finance,Europe
Johnson Ltd,prospecting,92993.61,2/27/2026,6/1/2025,Denise Lee,Education,North America
Terry-Baldwin,Closed Won,56793.45,4/26/2026,5/26/2025,Martin Johnston,Education,South America
Green LLC,Closed Won,"$18,667.74 ",6/19/2026,5/17/2025,Jessica Ball,Healthcare,North America
"Davis, Woods and Lewis",closed lost,88205.56,1/15/2026,1/17/2025,Kimberly Morgan,Technology,Europe
"Palmer, Sloan and Clark",Qualification,78060.64,12/19/2025,4/16/2025,Brittany Chaney,,Asia
Terry-Baldwin,CLOSED LOST,99272.95,,5/20/2025,Jonathan Patterson,Finance,South America
Sanchez Inc,qualification,67287.27,8/30/2026,4/5/2025,Jessica Ball,Technology,Asia
Brown-Mcpherson,Prospecting,17097.17,10/28/2025,5/20/2025,Robert Moore,Manufacturing,South America
Meyer-Kelly,Closed Won,67367.78,5/10/2026,3/3/2025,Marissa Perry,Retail,
Nichols Ltd,CLOSED WON,15082.22,9/25/2026,3/18/2025,David Rocha,Manufacturing,Asia
Gallagher-Ellis,Closed Lost,95518.07,3/2/2026,4/5/2025,Kathleen Harris,Education,Europe
Robinson Ltd,prospecting,27245.45,7/20/2026,,Kathleen Harris,Technology,Asia
Parker-Brown,Closed Lost,51279.51,10/8/2026,1/3/2025,Bradley Macdonald,Retail,Europe
"Kaufman, Abbott and Mendez",Prospecting,,6/13/2026,2/9/2025,Kristen Obrien,Finance,North America
,Proposal,"$73,023.28 ",2/3/2026,1/4/2025,Kathleen Harris,Finance,Asia
Wilson and Sons,Closed Won,25276.82,10/31/2026,4/14/2025,Kathleen Harris,Finance,North America
Jackson-Simon,qualification,21570.06,2/23/2026,1/26/2025,Jonathan Patterson,Technology,Europe
,negotiation,83595.71,9/5/2026,3/29/2025,Robert Moore,Manufacturing,South America
"Fisher, Sweeney and Newman",Closed Won,32230.12,6/8/2026,5/31/2025,Brittany Chaney,Education,Asia
"Levine, Porter and Reed",PROSPECTING,83683.89,11/15/2026,6/1/2025,Martin Johnston,Manufacturing,
Parker-Brown,Qualification,62212.01,4/8/2026,1/20/2025,Brittany Chaney,Healthcare,Europe
"Mcgrath, Salazar and Perez",PROSPECTING,12751.11,6/5/2026,2/21/2025,Jason Hudson,Technology,Europe
Castaneda-Phillips,Prospecting,64883.27,11/8/2026,1/25/2025,James Burke,Retail,South America
